아이템명 (Long ver),재고 여부,총공정단위&공정순서,굿즈명,Goods(stock),GoodsName,제작협력사,파츠 유형,생산유형,1_표준원가,100_표준원가,50_표준원가,300_표준원가,500_표준원가,1000_표준원가,5000_표준원가,3000_표준원가,10000_표준원가,30000_표준원가,기본 사용 수량,구매/생산 담당자,총공정단위(입력중),공정순서(입력중),단위,공정진행 협력사,2022.2Q. 발주담당자 (from 공정진행 협력사),아이템 총 제작 리드타임_100개,아이템 총 제작 리드타임_300개,아이템 총 제작 리드타임_기본_500개,아이템 총 제작 리드타임_1000개,아이템 총 제작 리드타임_3000개,파츠 총 제작 리드타임_100개(from parts),파츠 총 제작 리드타임_300개(from parts),파츠 총 제작 리드타임_기본_500개(from parts),파츠 총 제작 리드타임_1000개(from parts),파츠 총 제작 리드타임_3000개(from parts),파츠명,파츠 제작 이동 리드타임(from parts),산출물 필터링_파츠 제작 이동 리드타임,ERP 품목 여부_text
BSKP_PT0412-색박(음각)_250x500_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0412-색박(음각)_250x500_청산인쇄,,0,False
BSKP_PT0413-색박(음각)_250x350_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0413-색박(음각)_250x350_청산인쇄,,0,False
BSKP_PT0414-색박(음각)_250x250_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0414-색박(음각)_250x250_청산인쇄,,0,False
BSKP_PT0415-실크_250x250_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0415-실크_250x250_청산인쇄,,0,False
BSKP_PT0416-색박(음각)_50x100_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0416-색박(음각)_50x100_청산인쇄,,0,False
BSKP_PT0418-실크_130x200_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0418-실크_130x200_청산인쇄,,0,False
BSKP_PT0419-실크_80x180_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0419-실크_80x180_청산인쇄,,0,False
BSKP_PT0420-실크_50x50_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0420-실크_50x50_청산인쇄,,0,False
BSKP_PT0421-실크_30x30_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0421-실크_30x30_청산인쇄,,0,False
BSKP_PT0422-색박(음각)_50x50_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0422-색박(음각)_50x50_청산인쇄,,0,False
BSKP_PT0423-공박(양각)_50x50_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0423-공박(양각)_50x50_청산인쇄,,0,False
BSKP_PT1870-공박(양각)_50x100_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT1870-공박(양각)_50x100_청산인쇄,,0,False
BSKP_PT1876-공박(양각)_100x100_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT1876-공박(양각)_100x100_청산인쇄,,0,False
BSKP_PT1886-공박(양각)_150x200_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT1886-공박(양각)_150x200_청산인쇄,,0,False
BSKP_PT1895-공박(양각)_250x250_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT1895-공박(양각)_250x250_청산인쇄,,0,False
BSKP_PT1945-색박(음각)_100x100_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT1945-색박(음각)_100x100_청산인쇄,,0,False
BSKP_PT1965-색박(음각)_150x200_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT1965-색박(음각)_150x200_청산인쇄,,0,False
BSKP_PT2475-바스켓_추상적산출물,,A1,Basket 패키지,,Basket 패키지,신명인쇄,Phantom Parts,산출물,,,,,,,,,,,,,A,1,개,신명인쇄,김민지,4,4,4,6,9,3,3,3,5,8,PT2475-바스켓_추상적산출물,1,1,False
BSKP_PT2476-슬리브_추상적산출물,,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Phantom Parts,산출물,,,,,,,,,,,,,B,1,개,(주)청산인쇄,육승미,6,8,8,10,12,5,7,7,9,11,PT2476-슬리브_추상적산출물,1,1,False
BSKP_PT3073-에어캡봉투(중),⭕재고⭕,S1,Basket 패키지,,Basket 패키지,이고다포장,Package Parts,산출물,123,123,123,123,123,123,123,123,123,123,,,S,1,,,,0,0,0,0,0,0,0,,0,0,PT3073-에어캡봉투(중),,,True
BSKP_PT3714-조립산출물_Basket패키지,,,Basket 패키지,,Basket 패키지,,Phantom Parts,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,PT3714-조립산출물_Basket패키지,,0,False
UVBR_PT0424-UV_BLANK칫솔살균기_이모텔리[BLANK칫솔살균기],,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Printing Parts,옵션,20000,400,400,400,400,400,400,400,400,400,,안다정,A,1,,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0424-UV_BLANK칫솔살균기_이모텔리,,0,False
UVBR_PT0425-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-23[플라스틱단품박스],,B1,BLANK 칫솔살균기,,BLANK 칫솔살균기,서울디지털인쇄협동조합,Package Parts,산출물,10000,100,100,100,90,80,60,70,50,40,,권혁인,B,1,장,서울디지털인쇄협동조합,육승미,3,3,3,5,7,2,2,2,4,6,PT0425-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-23,1,1,True
UVBR_PT0426-BLANK칫솔살균기_화이트,,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Product Parts,옵션,10364,10364,10364,10364,10364,10364,10364,10364,10364,10364,,박형천,A,1,개,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0426-BLANK칫솔살균기_화이트,,0,True
UVBR_PT0427-AAA건전지[BLANK칫솔살균기],,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Product Parts,옵션,30000,600,600,600,600,600,600,600,600,600,,박형천,A,1,,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0427-AAA건전지,,0,False
UVBR_PT0428-BLANK칫솔살균기_블루,,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Product Parts,옵션,10364,10364,10364,10364,10364,10364,10364,10364,10364,10364,,박형천,A,1,개,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0428-BLANK칫솔살균기_블루,,0,True
UVBR_PT0429-USB케이블(블랭크칫솔살균기)_화이트[BLANK칫솔살균기],,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Product Parts,옵션,30000,600,600,600,600,600,600,600,600,600,,안다정,A,1,개,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0429-USB케이블(블랭크칫솔살균기)_화이트,,0,False
UVBR_PT0430-플라스틱단품박스_투명_200-1[BLANK칫솔살균기],,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Package Parts,옵션,0,0,0,0,0,0,0,0,0,0,,박형천,A,1,,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0430-플라스틱단품박스_투명_200-1,,0,False
UVBR_PT0431-BLANK칫솔살균기_핑크,,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Product Parts,옵션,495450,9909,9909,9909,9909,9909,9909,9909,9909,9909,,박형천,A,1,개,이모텔리,육승미,0,0,0,0,0,0,0,,0,0,PT0431-BLANK칫솔살균기_핑크,,0,True
UVBR_PT2477-BLANK칫솔살균기_추상적산출물,,A1,BLANK 칫솔살균기,,BLANK 칫솔살균기,이모텔리,Phantom Parts,산출물,,,,,,,,,,,,,A,1,개,이모텔리,육승미,3,3,5,8,10,1,1,3,6,8,PT2477-BLANK칫솔살균기_추상적산출물,2,2,False
UVBR_PT3687-조립산출물_BLANK칫솔살균기,,,BLANK 칫솔살균기,,BLANK 칫솔살균기,,Phantom Parts,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,PT3687-조립산출물_BLANK칫솔살균기,,0,False
BOXS_PT0432-골지트레이박스_화이트_100-1,⭕재고⭕,S1,BoXtand 슬리브박스,,BoXtand 슬리브박스,(주)청산인쇄,Package Parts,산출물,,,,,,4326,4326,4326,4326,4326,,박형천,S,1,개,,,0,0,0,0,0,0,0,,0,0,PT0432-골지트레이박스_화이트_100-1,,,True
BOXS_PT0433-슬리브(커스텀인쇄)_블랙_400-1[골지트레이박스],,A1,BoXtand 슬리브박스,,BoXtand 슬리브박스,(주)청산인쇄,Package Parts,옵션,,,,,,,,,,0,,문제호,A,1,개,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0433-슬리브(커스텀인쇄)_블랙_400-1,,0,False
