Code,품목,제품유형 3차분류,제품유형 2차분류,제품유형 1차분류,굿즈 Status 1.goods,PB/NB,출시일,리뉴얼,단종일,"판매일수 
(딘종일-출시일)","판매월 
(딘종일-출시일)",시즌,시즌_1,IP,수주액 2022,수주액 2022/01,수주액 2022/02,수주액 2022/03,수주액 2022/04,수주액 2022/05,수주액 2022/06,수주액 2022/07,수주액 2022/08,수주액 2022/09,수주액 2022/10,수주액 2022/11,수주액 2022/12,수주액 2023,수주액 2023/01,수주액 2023/02,수주액 2023/03,수주액 2023/04,수주액 2023/05,수주액 2023/06,수주액 2023/07,수주액 2023/08,수주액 2023/09,수주액 2023/10,수주액 2023/11,수주액 2023/12,수주액 2024,수주액 2024/01,수주액 2024/02,수주액 2024/03,수주액 2024/04,수주액 2024/05,수주액 2024/06,수주액 2024/07,수주액 2024/08,수주액 2024/09,수주액 2024/10,수주액 2024/11,수주액 2024/12,수주액 2025,수주액 2025/01,수주액 2025/02,수주액 2025/03,수주액 2025/04,수주액 2025/05,수주액 2025/06,수주액 2025/07,수주액 2025/08,수주액 2025/09,수주액 2025/10,수주액 2025/11,수주액 2025/12,판매량 2022,판매량 2022/01,판매량 2022/02,판매량 2022/03,판매량 2022/04,판매량 2022/05,판매량 2022/06,판매량 2022/07,판매량 2022/08,판매량 2022/09,판매량 2022/10,판매량 2022/11,판매량 2022/12,판매량 2023,판매량 2023/01,판매량 2023/02,판매량 2023/03,판매량 2023/04,판매량 2023/05,판매량 2023/06,판매량  2023/07,판매량 2023/08,판매량 2023/09,판매량 2023/10,판매량 2023/11,판매량 2023/12,판매량 2024,판매량 2024/01,판매량 2024/02,판매량 2024/03,판매량 2024/04,판매량 2024/05,판매량 2024/06,판매량 2024/07,판매량 2024/08,판매량 2024/09,판매량 2024/10,판매량 2024/11,판매량 2024/12,판매량 2025,판매량 2025/01,판매량 2025/02,판매량 2025/03,판매량 2025/04,판매량 2025/05,판매량 2025/06,판매량 2025/07,판매량 2025/08,판매량 2025/09,판매량 2025/10,판매량 2025/11,판매량 2025/12,구성비 2022,구성비 2022/01,구성비 2022/02,구성비 2022/03,구성비 2022/04,구성비 2022/05,구성비 2022/06,구성비 2022/07,구성비 2022/08,구성비 2022/09,구성비 2022/10,구성비 2022/11,구성비 2022/12,구성비 2023,구성비 2023/01,구성비 2023/02,구성비 2023/03,구성비 2023/04,구성비 2023/05,구성비 2023/06,구성비 2023/07,구성비 2023/08,구성비 2023/09,구성비 2023/10,구성비 2023/11,구성비 2023/12,구성비 2024,구성비 2024/01,구성비 2024/02,구성비 2024/03,구성비 2024/04,구성비 2024/05,구성비 2024/06,구성비 2024/07,구성비 2024/08,구성비 2024/09,구성비 2024/10,구성비 2024/11,구성비 2024/12,구성비 2025,구성비 2025/01,구성비 2025/02,구성비 2025/03,구성비 2025/04,구성비 2025/05,구성비 2025/06,구성비 2025/07,구성비 2025/08,구성비 2025/09,구성비 2025/10,구성비 2025/11,구성비 2025/12,SKU 2022,SKU 2022/01,SKU 2022/02,SKU 2022/03,SKU 2022/04,SKU 2022/05,SKU 2022/06,SKU 2022/07,SKU 2022/08,SKU 2022/09,SKU 2022/10,SKU 2022/11,SKU 2022/12,SKU 2023,SKU 2023/01,SKU 2023/02,SKU 2023/03,SKU 2023/04,SKU 2023/05,SKU 2023/06,SKU 2023/07,SKU 2023/08,SKU 2023/09,SKU 2023/10,SKU 2023/11,SKU 2023/12,SKU 2024,SKU 2024/01,SKU 2024/02,SKU 2024/03,SKU 2024/04,SKU 2024/05,SKU 2024/06,SKU 2024/07,SKU 2024/08,SKU 2024/09,SKU 2024/10,SKU 2024/11,SKU 2024/12,SKU 2025,SKU 2025/01,SKU 2025/02,SKU 2025/03,SKU 2025/04,SKU 2025/05,SKU 2025/06,SKU 2025/07,SKU 2025/08,SKU 2025/09,SKU 2025/10,SKU 2025/11,SKU 2025/12,판매가 구간,100개 기준 판매가,300개 기준 판매가,검토 내용,[예림] 비고,"판매일 2023/01 
품절일제외","판매일 2023/02 
품절일제외",판매일 2023/03,판매일 2023/04,판매일 2023/05,판매일 2023/06,판매일 2023/07,판매일 2023/08,판매일 2023/09,판매일 2023/10,판매일 2023/11,판매일 2023/12,판매일 2024/01,판매일 2024/02,판매일 2024/03,판매일 2024/04,판매일 2024/05,판매일 2024/06,판매일 2024/07,판매일 2024/08,판매일 2024/09,판매일 2024/10,판매일 2024/11,판매일 2024/12,판매일 2025/01,판매일 2025/02,판매일 025/03,판매일 2025/04,판매일 2025/05,판매일 2025/06,판매일 2025/07,판매일 2025/08,판매일 2025/09,판매일 2025/10,판매일 2025/11,판매일 2025/12,"활성 판매월 2023  
품절일제외
여름, 겨울시즌 3개월","활성 판매월 2023 
품절일제외
여름, 겨울시즌 3개월","활성 판매월 2023 
품절일제외
여름, 겨울시즌 3개월_2","판매월 2023 
품절일제외
여름, 겨울시즌 3개월","판매월 2024 
품절일제외
여름, 겨울시즌 3개월","판매월 2025 
품절일제외
여름, 겨울시즌 3개월","월평균 2023
수주액 / 활성판매월","월평균 2024
수주액 / 활성판매월","월평균 2025
수주액 / 활성판매월","월평균 2023
수주액 / 판매월","월평균 2024
수주액 / 판매월","월평균 2025
수주액 / 판매월",판매일 2023(휴일제외),판매일 2024(휴일제외),판매일 2025(휴일제외),영업일 2023(출시 및 단종일 고려),영업일 2024출시 및 단종일 고려),영업일 2025 9월 30일까지출시 및 단종일 고려),영업일수 2025 ,품절율 2023,품절율 2024,"품절율 2025  
9월 30일까지",월평균 2023,소싱구분
MSFG,팝업스토어 피규어 세트,디오라마,월드 오브 피규어,Figure,판매중,NB,2024.11.22,,,443,14.6,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,3950000,,,,,,,,,,,,3950000,4932500,,,,,,,,1520000,,1922500,,1490000,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,500,650,,,,,,,,200,,250,,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0.00261,0.0004,0,0,0,0,0,0,0,0.00158,0,0.00166,0,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩5,900","₩5,700",,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,1,0,1,0,0,1,0,#DIV/0!,0,#DIV/0!,#DIV/0!,"4,932,500",0,0,31,0,28,195,,,1,0.841,,
MSGC,메시지 캐리어 파우치,플라스틱 파우치,하드케이스 파우치,Bag&pouch,판매중,PB,2022.10.6,2022.10.6,,1221,40.2,,,,38233850,,,,,,,,,,5300000,15736850,17197000,237606900,9004600,6140400,10783800,2659000,45314000,14670500,14089800,17826500,25988200,34725000,40573100,15832000,248778310,13447500,27051700,3510000,8296200,41027380,29902400,22829140,22747710,18793390,24319700,23486870,13366320,165348610,24416200,10696950,14004600,14834000,17281500,1259000,17934000,3419700,11797200,17557950,20517000,11630510,,,,,,,,,,,,,,,,,,,,,,,,,,,23788,1150,2415,300,685,4112,2900,2183,2227,1776,2440,2323,1277,16358,2487,1015,1430,1500,1670,100,2000,330,1150,1685,1910,1081,0.00278,0,0,0,0,0,0,0,0,0,0.00377,0.00631,0.01056,0.01837,0.01021,0.00902,0.01094,0.00424,0.04902,0.0194,0.01556,0.02028,0.02485,0.02758,0.02249,0.00725,0.01867,0.01513,0.03319,0.00591,0.00914,0.04489,0.0288,0.02554,0.02223,0.01701,0.01415,0.01227,0.00882,0.01334,0.02631,0.01496,0.01419,0.01487,0.00166,0.02054,0.00166,0.00356,0.01017,0.01517,0.01248,0.00792,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩8,000","₩8,000",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"47,521,380","20,731,526","6,079,925","23,621,230","20,731,526","165,348,610",214,365,31,260,262,195,,0.1769,-0.39,0.841,,국내소싱
MSKT,굿바이 바이러스 마스크 키트,마스크,위생,Lifestyle,졸업,PB,2019.4.11,,2022.1.12,1007,33.1,,,,1764940,349740,,580000,,835200,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013,0.00059,0,0.00087,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01_0~5천원,₩890,₩850,단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
MSMO,로지텍 라이트 마우스,마우스,PC/ 노트북 악세사리,Tech,졸업,NB,2024.4.18,,2025.4.30,377,12.4,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,3212000,,,,,,,3212000,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,200,,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0,0,0,0,0,0,0.00359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,03_1만~1.5만원,"₩13,300","₩13,300",단종(견적서 등록 완료),,,,,,,,,,,,,,,,,15,31,30,31,31,30,31,30,30,,,,,,,,,,,,,1,6,3,0,9,0,0,"535,333",0,#DIV/0!,"356,889",#DIV/0!,0,259,0,0,184,86,,,-0.41,1,,
MSST,메세지 스트랩,스트랩,모바일 악세사리,Tech,졸업,PB,2019.10.7,,2025.7.9,2102,69.1,,,,24368030,870330,866000,1890200,2616000,3345500,1194000,3062000,,499000,520000,5172000,4333000,19976220,,1720000,3100000,2134300,520000,2616120,1904800,2062000,520000,5399000,,,12597400,2558400,1835800,2832000,1260000,,,,,2491200,540000,1080000,,2162000,902000,,,1260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,540,440,750,300,,,,,720,100,200,,500,200,,,300,,,,,,,,,0.00177,0.00148,0.00158,0.00285,0.0023,0.00331,0.00099,0.0035,0,0.00052,0.00037,0.00207,0.00266,0.00154,0,0.00253,0.00314,0.0034,0.00056,0.00346,0.0021,0.00235,0.0005,0.00429,0,0,0.00095,0.00288,0.00225,0.00477,0.00139,0,0,0,0,0.00226,0.00031,0.00056,0,0.00017,0.00097,0,0,0.00126,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,01_0~5천원,"₩3,900","₩3,200",단종(견적서 등록 완료),,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,,,,,,,,,,,,,,,5,12,1,7,10,0,"3,995,244","1,049,783","540,000","308,857","1,259,740",#DIV/0!,214,305,0,260,262,136,,0.1769,-0.16,1,,
MSTM,미니멀 스텐머그,스텐 머그,머그컵,Drinkware,판매중,NB,2023.4.28,2023.4.28,,1017,33.5,,,,0,,,,,,,,,,,,,89321410,,,,,5966000,11199000,9770000,13457500,14746200,13936500,12838710,7407500,70264800,1499000,16630800,2596600,1330000,1330000,7890000,1300000,6170000,2700000,5240000,10522400,13056000,104596070,13110000,3850000,9356000,10280000,4666000,4640000,3761000,8922150,13975600,4418000,26397320,1220000,,,,,,,,,,,,,,,,,,,,,,,,,,,5740,100,1340,220,100,100,700,100,500,200,400,930,1050,8571,1050,300,700,850,350,400,320,755,1070,350,2326,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691,0,0,0,0,0.00645,0.01481,0.01079,0.01531,0.0141,0.01107,0.00712,0.00339,0.00527,0.00169,0.0204,0.00437,0.00147,0.00146,0.0076,0.00145,0.00603,0.00244,0.00305,0.0055,0.00862,0.00844,0.01412,0.00538,0.00948,0.0103,0.00614,0.00431,0.00614,0.0093,0.01205,0.00382,0.01606,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03_1만~1.5만원,"₩11,500","₩10,900",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"17,864,282","5,855,400","1,310,000","14,942,296","5,855,400","104,596,070",214,365,31,176,262,195,,-0.2159,-0.39,0.841,,
MTTB,매트블랙 텀블러,스텐 텀블러,텀블러,Drinkware,판매중,PB,2019.3.1,,,2536,83.4,,,,521621940,35577560,35847000,37197750,56213500,77826600,34087690,34540600,50420700,52883200,22299440,29347000,55380900,303025450,29374000,17187200,21497000,9414000,12730000,26607800,29574500,42524200,28042500,23061850,18773100,44239300,281064500,16740000,27470000,10820100,17611700,18276400,21883000,39425000,17292400,20267700,17397200,39075500,34805500,241954280,19379650,30043180,10234000,23738800,4579600,28006730,17402200,6015000,22414300,3782500,31558000,44800320,,,,,,,,,,,,,,,,,,,,,,,,,,,18773,1100,2000,650,1070,1260,1300,2540,1170,1313,1220,2770,2380,16764,1271,2240,750,1670,280,1968,1160,400,1485,250,2141,3149,0.0379,0.06032,0.06554,0.056,0.04941,0.07706,0.02829,0.03953,0.04063,0.05478,0.01588,0.01176,0.03402,0.02343,0.03332,0.02525,0.02181,0.01499,0.01377,0.03519,0.03265,0.04837,0.02681,0.01832,0.01041,0.02027,0.02109,0.01884,0.0337,0.01822,0.0194,0.02,0.02108,0.0441,0.0169,0.01835,0.01012,0.02041,0.02297,0.01951,0.02088,0.042,0.01037,0.02379,0.03704,0.01993,0.03704,0.00627,0.01932,0.00327,0.0192,0.03049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03_1만~1.5만원,"₩11,000","₩10,500",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"60,605,090","23,422,042","4,349,300","34,564,897","23,422,042","241,954,280",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
NKPL,트래블 2in1 목베개,목베게,목베게,Travel,판매중,PB,2023.9.21,,,871,28.7,,,,0,,,,,,,,,,,,,22944420,,,,,,,,,,,15880000,7064420,44553400,13058000,2060000,,,4440000,,6120000,6742500,4902900,,2180000,5050000,35660000,,19306000,4002000,,2180000,2060000,,3916000,,,,4196000,,,,,,,,,,,,,,,,,,,,,,,,,,,2165,650,100,,,200,,300,335,230,,100,250,1800,,1000,200,,100,100,,200,,,,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0.0088,0.00324,0.00334,0.01469,0.00253,0,0,0.00486,0,0.00685,0.00659,0.00444,0,0.00114,0.00333,0.00288,0,0.02699,0.00406,0,0.00272,0,0.00272,0.00408,0,0,0,0.00286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,04_1.5만~2만원,"₩19,500","₩18,800",,,,,,,,,,,,8,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,1,12,4,3,12,1,"22,944,420","3,712,783",0,"11,886,667","3,712,783","35,660,000",69,365,31,72,262,195,,0.0417,-0.39,0.841,,
NMBP,노마드 백팩,오피스 백팩,백팩,Bag&pouch,졸업,NB,2021.1.29,,2022.3.22,417,13.7,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_5만원 이상,"₩103,000","₩95,000",단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
NSTP,노트북 스탠드패드,스탠드형,PC/ 노트북 악세사리,Tech,판매중,NB,2020.9.8,,,1979,65.1,,,,73074130,6268000,,2080000,,3798000,14965300,3577310,7511000,13077500,5247000,6150000,10400020,84107800,,4190000,8152000,12880000,2246500,22086000,2230000,,9864000,11931800,4310000,6217500,92357230,9168000,11710010,7072220,,14379000,6720000,7092000,2290000,2290000,17231000,11995000,2410000,104593330,7385600,11770500,12827200,3575000,14510000,14375000,6390000,7452750,11800600,4624000,7200400,2682280,,,,,,,,,,,,,,,,,,,,,,,,,,,4219,400,551,339,,650,300,318,100,100,810,550,101,4801,324,525,620,150,700,650,300,315,570,200,340,107,0.00531,0.01063,0,0.00313,0,0.00376,0.01242,0.00409,0.00605,0.01355,0.00374,0.00246,0.00639,0.0065,0,0.00616,0.00827,0.02052,0.00243,0.02921,0.00246,0,0.00943,0.00948,0.00239,0.00285,0.00693,0.01032,0.01437,0.01191,0,0.01573,0.00647,0.00793,0.00224,0.00207,0.01003,0.00627,0.00159,0.00844,0.00796,0.01646,0.013,0.00358,0.01901,0.00732,0.01901,0.00776,0.01017,0.004,0.00438,0.00183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,04_1.5만~2만원,"₩16,100","₩15,600",,,,,,,,30,,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,4,12,4,6,12,1,"21,026,950","7,696,436","4,307,750","17,432,222","7,696,436","104,593,330",183,365,31,260,262,195,,0.2962,-0.39,0.841,,국내소싱
NTRN,내추럴 노트,페이퍼 하드커버,노트,Stationery,판매중,PB,2021.8.9,2023.10.6,,1644,54.1,,계절적제품: 겨울,,131426080,16849820,2752000,1153100,4891500,4530000,8729460,6551000,6489000,6998000,3930000,57233200,11319000,127322600,15530000,6072400,10382000,6020000,2530000,6264600,5022000,1020000,2540000,48510600,11608000,11823000,175335690,7990200,5349700,6537500,11198200,2680000,6635000,1280000,5700000,6588000,61559000,28080600,31737490,74368080,2029200,7273300,6350000,2240000,,,6203000,5560000,19570000,,6640700,18501880,,,,,,,,,,,,,,,,,,,,,,,,,,,17561,810,665,570,1010,200,550,100,500,550,7050,2555,3001,9412,120,590,500,200,,,500,400,5100,,530,1472,0.00955,0.02857,0.00503,0.00174,0.0043,0.00449,0.00725,0.0075,0.00523,0.00725,0.0028,0.02294,0.00695,0.00984,0.01761,0.00892,0.01053,0.00959,0.00274,0.00828,0.00555,0.00116,0.00243,0.03853,0.00643,0.00542,0.01316,0.00899,0.00656,0.01101,0.01234,0.00293,0.00639,0.00143,0.00557,0.00596,0.03582,0.01467,0.02095,0.006,0.00219,0.01017,0.00643,0.00224,0,0.00711,0,0.00579,0.01687,0,0.00404,0.01259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩8,500","₩7,800",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"25,464,520","14,611,308","15,389,750","10,624,011","14,611,308","74,368,080",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
OBPS,오브제 패드 세트,마우스패드,PC/ 노트북 악세사리,Tech,졸업,PB,2019.11.1,,2021.1.12,438,14.4,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,,0,,,200,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,단종(견적서 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
ODHZ,프리미엄 스트링 후드집업,후드집업,후드집업,Apparel,판매중,PB,2020.11.18,2021.4.2,,1908,62.8,,,,254730970,26709180,4079000,9274000,13778500,19054800,8157000,9194000,18928400,13404000,64965300,53753390,13433400,140314610,9279180,4719000,37931000,,13330300,6976000,2420000,6196800,12031100,8405000,21972230,17054000,138047840,14760040,,8664900,2940000,,5140000,,18916800,22948000,2796800,29882300,31999000,142450330,23718720,,12097120,3289000,36626000,6638800,,5496000,9716000,3226800,27339700,14302190,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,294,,160,50,,100,,370,410,51,550,633,2435,496,,,65,650,110,,100,133,60,530,291,0.01851,0.04529,0.00746,0.01396,0.01211,0.01887,0.00677,0.01052,0.01525,0.01388,0.04625,0.02154,0.00825,0.01085,0.01052,0.00693,0.03848,0,0.01442,0.00922,0.00267,0.00705,0.0115,0.00668,0.01218,0.00781,0.01036,0.01661,0,0.01459,0.00324,0,0.00495,0,0.01849,0.02077,0.00163,0.01561,0.02112,0.01149,0.02555,0,0.01226,0.0033,0.00878,0,0.00878,0.00573,0.00838,0.00279,0.01663,0.00974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09_4만~4.5만원,"₩43,500","₩43,000",코드 통일,OZIP >> ODHZ,,,,,,,,,,14,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,1,12,4,3,12,1,"140,314,610","11,503,987","699,200","47,483,443","11,503,987","142,450,330",75,365,31,260,262,195,,0.7115,-0.39,0.841,,
OFMP,오피스 마우스패드,마우스패드,PC/ 노트북 악세사리,Tech,판매중,PB,2019.11.1,,,2291,75.4,,,,77432440,6417000,4818500,6551000,9604500,8217050,9014000,9345400,8981000,10085000,2087790,1571200,740000,32661060,740000,2002000,2692000,1982000,2096000,1041600,7290000,5490060,1630000,,7697400,,27986000,1640000,740000,766500,2280000,4022000,4816000,3870000,4859500,1860000,,,3132000,38238950,5777300,2537200,6572640,4630000,760000,5354850,3440000,890000,946960,,1282000,6048000,,,,,,,,,,,,,,,,,,,,,,,,,,,4055,200,100,105,300,600,800,600,650,200,,,500,4742,795,320,214,700,100,793,520,100,,,200,1000,0.00563,0.01088,0.00881,0.00986,0.00844,0.00814,0.00748,0.01069,0.00724,0.01045,0.00149,0.00063,0.00045,0.00253,0.00084,0.00294,0.00273,0.00316,0.00227,0.00138,0.00805,0.00624,0.00156,0,0.00427,0,0.0021,0.00185,0.00091,0.00129,0.00251,0.0044,0.00464,0.00433,0.00475,0.00168,0,0,0.00207,0.00308,0.00622,0.00355,0.00666,0.00464,0.00708,0.00394,0.00708,0.00093,0.00082,0,0.00078,0.00412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩6,800","₩5,300",코드 통일,OFMS >> OFMP,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"6,532,212","2,332,167",0,"5,462,707","2,332,167","38,238,950",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
OFSL,오피스 슬리퍼,오피스 슬리퍼,슬리퍼,Apparel,졸업,NB,2019.9.15,,2021.1.12,485,16,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,,0,0,0,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,단종(견적서 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
