Goods Name,Goods Code,출시일,리뉴얼,졸업일,제조국,Goods Category_1.goods,굿즈 Status_1.goods,itemdb (new),HS CODE 및 MBS 유의사항,"판매가(300개,표준인쇄포함)",제품유형_1차분류,제품유형_2차분류,제품유형_3차분류,제품군_일상/계절,제품유형_ESG,IP,출시일/졸업일 비고,PB/NB
브랜디드 노트북백,BRDD,2022-04-21,,,중국,Bag&pouch,판매중,"BRDD_PT2228-브랜디드노트북백_블랙,BRDD_PT2230-레이저각인_유광블랙_전면_브랜디드노트북백_타우하이텍,BRDD_PT2231-크로스스트랩_블랙[브랜디드노트북백],BRDD_PT2233-공박(음각)_브랜디드노트북백_유엘상사[레더라벨],BRDD_PT2234-OPP_300-2,BRDD_PT1313-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-66[OPP],BRDD_PT2236-주의사항표기택(전용)_화이트+디지털풀컬러_000-1[브랜디드노트북백],BRDD_PT2237-샘플(레이저각인)_유광블랙_전면_브랜디드노트북백_타우하이텍,BRDD_PT2232-레더라벨_컬러,BRDD_PT2528-브랜디드노트북백_추상적산출물,BRDD_PT2529-레더라벨_추상적산출물,BRDD_PT2828-투명손잡이지퍼백(L)[브랜디드노트북백],BRDD_PT3290-사각스티커(커스텀인쇄)_화이트+디지털풀컬러[투명손잡이지퍼백],BRDD_PT3653-조립산출물_브랜디드노트북백",,"30,000미만",Tech,노트북백,크로스백형,일상적제품,,,,PB
포터블 피크닉 롤테이블,PTBC,2022-04-13,,,중국,Lifestyle,판매중,"PTBC_PT2286-실크_실버_테이블단면_믿음뒤나미스[포터블캠핑롤테이블],PTBC_PT2287-실크_투명_테이블단면_믿음뒤나미스[포터블캠핑롤테이블],PTBC_PT2288-실크_실버_파우치_믿음뒤나미스[포터블캠핑롤테이블],PTBC_PT2289-샘플(실크)_실버_파우치_믿음뒤나미스,PTBC_PT2290-샘플(실크)_실버_테이블단면_믿음뒤나미스,PTBC_PT2291-샘플(실크)_투명_테이블단면_믿음뒤나미스,PTBC_PT2292-골지단품박스(기성)_화이트,PTBC_PT2293-주의사항표기서(전용)_화이트_100-2[포터블캠핑롤테이블],PTBC_PT2242-포터블캠핑롤테이블(세트_본품및파우치)_블랙,PTBC_PT2294-펠트백(스탠다드)_블랙_400-1,PTBC_PT2298-실크_실버_전면_150x150_기프트인포주식회사[펠트백],PTBC_PT2593-포터블캠핑롤테이블_추상적산출물,PTBC_PT2510-펠트백_추상적산출물,PTBC_PT2612-실크_실버_전면_150x150_개미기획[펠트백],PTBC_PT2754-샘플(포터블캠핑롤테이블),PTBC_PT3564-외주생산총공정산출물_펠트백,PTBC_PT3676-조립산출물_포터블피크닉롤테이블,PTBC_",,"20,000 미만",Outdoor,캠핑,캠핑테이블,계절적제품: 봄/가을,,,,PB
레더라벨 캠핑체어,LTLB,2022-04-07,,,중국,Lifestyle,판매중,"LTLB_PT2279-레더라벨(파우치)_컬러,LTLB_PT2280-레더라벨(체어시트)_컬러,LTLB_PT2281-공박(음각)_파우치_유엘상사[레더라벨(파우치)],LTLB_PT2282-공박(음각)_체어시트_유엘상사[레더라벨(체어시트)],LTLB_PT2283-주의사항표기서(전용)_화이트_100-3,LTLB_PT2268-레더라벨캠핑체어(세트_본품및파우치)_베이지,LTLB_PT2243-레더라벨캠핑체어(세트_본품및파우치)_블랙,LTLB_PT2294-펠트백(스탠다드)_블랙_400-1,LTLB_PT2298-실크_실버_전면_150x150_기프트인포주식회사[펠트백],LTLB_PT2509-레더라벨캠핑체어_추상적산출물,LTLB_PT2510-펠트백_추상적산출물,LTLB_PT2612-실크_실버_전면_150x150_개미기획[펠트백],LTLB_PT3697-조립산출물_레더라벨캠핑체어,LTLB_","SCR 자체 검사 진행 결과 포름알데히드 시료1) 약 117mg, 시료 2) 약 54g 검출, 불합격 기준치 300mg에는 미달하여 판매용으로 가능한 상황

24/9/11 : 김보영 작성
캠핑체어의 B2C의 기준이 비매품보다 높은 것으로 판단, MBS대상에서 제외","30,000미만",Outdoor,캠핑,캠핑체어,계절적제품: 봄/가을,,,,PB
포인트업 러그,PITU,2022-04-14,,,대한민국,Fabric,판매중,"PITU_PT2341-포인트업러그_러그(원형.단모),PITU_PT2343-포인트업러그_러그(반원형.단모),PITU_PT2345-패브릭디지털_4도_전면_모아산업[포인트업러그_러그],PITU_PT2346-띠지(커스텀인쇄)_화이트+디지털풀컬러_300-8,PITU_PT2347-OPP(기성)(원통형),PITU_PT2348-샘플(패브릭디지털)_4도_전면_모아산업[포인트업러그],PITU_PT2349-포인트업러그_바이어스(스탠다드)_크림,PITU_PT2350-포인트업러그_바이어스(커스텀색상)_컬러,PITU_PT2342-포인트업러그_러그(원형.중단모),PITU_PT2344-포인트업러그_러그(반원형.중단모),PITU_PT2353-포인트업러그_바이어스(스탠다드)_라이트그레이,PITU_PT2354-포인트업러그_바이어스(스탠다드)_네이비,PITU_PT2355-포인트업러그_바이어스(스탠다드)_다크브라운,PITU_PT2356-포인트업러그_바이어스(스탠다드)_블랙,PITU_PT2592-포인트업러그_추상적산출물,PITU_PT3431-사각스티커(커스텀인쇄)(판매용.원형)_화이트+디지털풀컬러,PITU_PT3432-사각스티커(커스텀인쇄)(판매용.반원형)_화이트+디지털풀컬러,PITU_PT3575-외주생산총공정산출물_포인트업러그,PITU_PT3679-조립산출물_포인트업러그",,"15,000 미만",Fabric,러그,러그,계절적제품: 겨울,,,,PB
아트워크 레더 다이어리,ATWK,2022-07-25,,,대한민국,Stationery,판매중,"ATWK_PT2248-아트워크레더다이어리_커버_화이트,ATWK_PT2250-아트워크레더다이어리_내지(만년),ATWK_PT2251-아트워크레더다이어리_내지(커스텀인쇄.전체.블랙인쇄),ATWK_PT2253-아트워크레더다이어리_내지(커스텀인쇄.전체.옵셋풀컬러),ATWK_PT2255-교정시트(내지),ATWK_,ATWK_PT2257-샘플(UV인쇄)_전체_와이이케이글래스주식회사,ATWK_PT2258-샘플(UV인쇄)_전면_와이이케이글래스주식회사,ATWK_PT2272-UV_전면_와이이케이글래스주식회사,ATWK_PT2273-UV_전체_와이이케이글래스주식회사,ATWK_PT2714-아트워크레더다이어리_커버_추상적산출물,ATWK_PT2252-아트워크레더다이어리_내지(커스텀인쇄1-31p옵셋풀컬러.나머지블랙인쇄),ATWK_PT2983-샘플_교정용무선제본(아트워크레더다이어리),ATWK_PT3006-아트워크레더다이어리_내지(커스텀인쇄1-16p옵셋풀컬러.나머지블랙인쇄),ATWK_,ATWK_,ATWK_PT3425-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러[opp],ATWK_PT3590-외주생산총공정산출물_아트워크레더다이어리,ATWK_PT3667-조립산출물_아트워크레더다이어리,ATWK_,ATWK_PT0667-OPP_100-6",,"15,000 미만",Stationery,다이어리,풀컬러인쇄 커버,계절적제품: 겨울,,,,PB
펠트백,FTBG,2022-04-07,,,대한민국,Kit Package,판매중,"FTBG_PT2298-실크_실버_전면_150x150_기프트인포주식회사[펠트백],FTBG_PT2294-펠트백(스탠다드)_블랙_400-1[펠트백],FTBG_,FTBG_PT2510-펠트백_추상적산출물,FTBG_PT2612-실크_실버_전면_150x150_개미기획[펠트백],FTBG_PT3637-조립산출물_펠트백",,"5,000 미만",Kit ,펠트백,펠트,일상적제품,,,,PB
데코 스티커,DECO,2022-05-24,2022-06-24,,대한민국,Stationery,판매중,"DECO_PT2373-데코스티커_화이트+디지털풀컬러,DECO_PT2374-데코스티커_투명+디지털풀컬러,DECO_PT2375-OPP(전용)_100-17,DECO_PT2481-데코스티커_추상적산출물,DECO_PT3689-조립산출물_데코스티커","표기 필수 의무 x 
고객사 희망 시 제작 가능 (*만14세이상 표시 필수)

[품질표시]
제품명: 고객사 제품명
재질: PVC 리무버블 스티커, PET 스티커
규격: 130x190mm
제조자: (주)크레비스파트너스 신시어리 사업부
제조국: 대한민국
사용연령: 14세 이상
판매자 주소 및 전화번호 : 고객 법인명 / 주소 / 전화번호","5,000 미만",Stationery,스티커,커스텀 스티커,일상적제품,,,,PB
레터링 유리머그,LTLU,2022-05-19,,,중국,Drinkware,판매중,"LTLU_PT2377-레터링유리머그_투명,LTLU_PT2384-실크_1색_전면_동일산업,LTLU_PT2385-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_100-8,LTLU_PT1583-골지단품박스_그레이_100-2,LTLU_PT1584-골지단품박스(커스텀인쇄)_화이트+옵셋풀컬러_100-2,LTLU_PT2388-샘플(실크)_1색_전면_동일산업,LTLU_PT1517-단품박스(스탠다드)_웜그레이_100-4,LTLU_PT0899-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_100-4,LTLU_PT2389-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_100-9,LTLU_PT2390-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러_100-15,LTLU_PT3836-샘플(전사)_명품전사,LTLU_PT2407-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러_100-16,LTLU_PT2512-레터링유리머그_추상적산출물,LTLU_PT3418-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,LTLU_PT3695-조립산출물_레터링유리머그,LTLU_PT3835-전사_명품전사",HS CODE 3924.10-0000 ,"10,000 미만",Drinkware,유리컵,내열 유리컵,계절적제품: 여름,,,,NB
베케이션 여권케이스,VCIT,2022-06-15,,,대한민국,Lifestyle,판매중,"VCIT_PT2405-베케이션여권케이스,VCIT_PT0996-단품박스(스탠다드)_웜그레이_000-8,VCIT_PT0995-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-8,VCIT_PT2437-OPP(기성(배송용)),VCIT_PT2438-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-84[단품박스],VCIT_PT2440-UV_외부전체_와이이케이글래스주식회사[베케이션여권케이스],VCIT_PT2441-UV_내부오른쪽포켓_와이이케이글래스주식회사[베케이션여권케이스],VCIT_PT2439-샘플(UV인쇄)_외부전체_와이이케이글래스주식회사,VCIT_PT2445-샘플(UV인쇄)_내부오른쪽포켓_와이이케이글래스주식회사,VCIT_PT2463-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-82[OPP],VCIT_PT2524-베케이션여권케이스_추상적산출물,VCIT_,VCIT_검토대상(recw6R04LIYYwI9Dx),VCIT_PT3424-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러[단품박스+OPP],VCIT_PT3573-외주생산총공정산출물_베케이션여권케이스,VCIT_PT3706-조립산출물_베케이션여권케이스",,"10,000 미만",Travel,여권케이스,레더 소프트커버,일상적제품,,,,PB
린넨메쉬스트링파우치,LNMS,2022-03-30,,,중국,Kit Package,판매중,"LNMS_PT2187-린넨메쉬스트링파우치(스탠다드)(M),LNMS_PT2188-실크_전면_개미기획,LNMS_PT3742-조립산출물_린넨메쉬스트링파우치,LNMS_PT3782-인쇄된린넨메쉬스트링파우치",,"5,000 미만",Kit ,스트링 파우치,린넨메쉬,일상적제품,ESG,,,PB
개별배송 외박스,GBBS,2022-06-22,,,,기타,판매중,"GBBS_PT2409-배송용외박스(커스텀인쇄)(D-360)_브라운+블랙인쇄_300-1,GBBS_PT2410-배송용외박스(커스텀인쇄)(T-330)_브라운+블랙인쇄_300-2,GBBS_PT2411-배송용외박스(커스텀인쇄)(M-480)_브라운+블랙인쇄_400-1,GBBS_PT2412-배송용외박스(커스텀인쇄)(L-510)_브라운+블랙인쇄_500-1,GBBS_PT2408-배송용외박스(커스텀인쇄)(D-280)_브라운+블랙인쇄_200-1,GBBS_PT2413-배송용외박스(커스텀인쇄)(L-560)_브라운+블랙인쇄_500-2,GBBS_PT2854-배송용외박스(스탠다드)(S-280),GBBS_PT2855-배송용외박스(스탠다드)(S-360),GBBS_PT2856-배송용외박스(스탠다드)(M-350),GBBS_PT2857-배송용외박스(스탠다드)(M-480),GBBS_PT2858-배송용외박스(스탠다드)(L-510),GBBS_PT2859-배송용외박스(스탠다드)(L-560),GBBS_PT2860-배송용외박스(스탠다드)(XL-770),GBBS_PT3909-조립산출물_배송용외박스(커스텀인쇄),GBBS_PT4259-배송용외박스(스탠다드)(M-390)",,,기타,,,,,,,
드레스업 손거울,DRSU,2022-06-24,,,대한민국,Lifestyle,판매중,"DRSU_PT2464-드레스업손거울_화이트,DRSU_PT2465-드레스업손거울_블랙,DRSU_PT1036-OPP_100-15,DRSU_PT2466-실크_실버1색_전면_(주)스타양행[드레스업손거울_화이트],DRSU_PT2467-실크_유광블랙1색_전면_(주)스타양행[드레스업손거울_블랙],DRSU_PT2468-데코스티커_화이트+디지털풀컬러,DRSU_PT0995-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-8,DRSU_PT0996-단품박스(스탠다드)_웜그레이_000-8,DRSU_PT2469-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-83,DRSU_PT2470-샘플(실크)_(주)스타양행[드레스업손거울],DRSU_PT2502-드레스업손거울_추상적산출물,DRSU_PT2719-배경지(커스텀인쇄)_화이트+디지털풀컬러,DRSU_PT2725-단품박스(기성(배송용)),DRSU_PT3728-조립산출물_드레스업손거울",,"5,000 미만",Lifestyle,뷰티,손거울,일상적제품,,,,PB
트리플 컬러펜 | JETSTREAM,TRPC,2022-07-14,,,일본,Stationery,판매중,"TRPC_PT2473-트리플컬러펜_그레이지,TRPC_PT2472-트리플컬러펜_블랙,TRPC_PT2786-패드_실버1색_블랙펜_동일산업,TRPC_PT2787-패드_지정1색_그레이지펜_동일산업,TRPC_PT2788-배경지(커스텀인쇄)_화이트+디지털풀컬러[유광비닐덮개파우치],TRPC_PT1093-유광덮개파우치_투명_000-3,TRPC_PT2285-펜슬리브(커스텀인쇄)_+옵셋풀컬러_000-1,TRPC_PT2789-샘플(패드)_지정1색_동일산업,TRPC_PT2793-샘플(트리플컬러펜),TRPC_PT2900-트리플컬러펜_추상적산출물,TRPC_PT3724-조립산출물_트리플컬러펜JETSTREAM,TRPC_PT4299-실크_실버1색_블랙펜_35x4_신명인쇄,TRPC_PT4300-실크_지정1색_그레이지_35x4_신명인쇄,TRPC_PT4302-샘플(실크)_동일옵션_신명인쇄",,"10,000 미만",Stationery,펜,삼색펜,일상적제품,,,,NB
