파츠명 (Long ver),굿즈 연결 현황 (from item),파츠 유형,파츠: 가로x세로x높이(장폭고),파츠: 지류/소재,발주 세부사항(임가공 포함),재고여부,제작협력사,itemdb (new),1개_표준원가,50개_표준원가,100개_표준원가,300개_표준원가,500개_표준원가,1000개_표준원가,3000개_표준원가,5000개_표준원가,10000개_표준원가,30000개_표준원가,재고_리드타임,파츠 제작 리드타임_기본_500개,파츠 제작 이동 리드타임,파츠 제작 리드타임_수량별 조정_1000개,파츠 제작 리드타임_수량별 조정_3000개,파츠 총 제작 리드타임_기본_500개,파츠 총 제작 리드타임_1000개,파츠 총 제작 리드타임_3000개,파츠 제작 리드타임_수량별 조정_100개,파츠 총 제작 리드타임_100개,파츠 제작 리드타임_수량별 조정_300개,파츠 총 제작 리드타임_300개
PT4729-커넥트6in1케이블키트_본품,"재고생산, 커넥트 6in1 케이블키트",Product Parts,"107 x 30 x 16 mm / 33g
",,"본품, 박스, 블리스터 포함 발주 (* PI 세부 사항 참고 ) 

https://www.dropbox.com/scl/fi/7wchcnd6nowzy394wij8f/PI-_-6in1-_Dongguan-JinEn-Electronics-25_0827.xlsx?rlkey=ukw53r6lay1wp15o19bzhv2ax&st=zfq023mc&dl=0  
",⭕재고⭕,"""Dongguan JinEn Electronics Co., Ltd""","STCK_PT4729-커넥트6in1케이블키트_본품,CCKT_PT4729-커넥트6in1케이블키트_본품",1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,,,,,,,0,0,,0,,0
PT4730-단품박스(전용)_화이트,"재고생산, 커넥트 6in1 케이블키트",Package Parts,50×25×118 mm,,"중국제작 박스(White cardboard, 350g) , 블리스터(PET) 포함",⭕재고⭕,"""Dongguan JinEn Electronics Co., Ltd""","STCK_PT4730-단품박스(전용)_화이트,CCKT_PT4730-단품박스(전용)_화이트",600,600,600,600,600,600,600,600,600,600,,,,,,,0,0,,0,,0
PT4731-사용설명서(전용)_화이트,"재고생산, 커넥트 6in1 케이블키트",Package Parts,45x110,스노우 150g, 양면인쇄(먹1도),⭕재고⭕,서울디지털인쇄협동조합,"STCK_PT4731-사용설명서(전용)_화이트,CCKT_PT4731-사용설명서(전용)_화이트",0,200,200,180,160,140,120,100,80,80,,,,,,,0,0,,0,,0
PT2834-퀵버튼링노트_종이커버(앞표지)_화이트+블랙인쇄,"재고생산, 퀵 버튼링 노트",Product Parts,135x200,랑데뷰 울트라화이트 240g,"1) 단면 먹1도인쇄 (앞표지 2p에만 인쇄있음)
2) CTP 200선
3) 귀돌이 3mm
4) 머쉬룸 7타공",⭕재고⭕,(주)청산인쇄,"STCK_PT2834-퀵버튼링노트_종이커버(앞표지)_화이트+블랙인쇄,QBRN_PT2834-퀵버튼링노트_종이커버(앞표지)_화이트+블랙인쇄",230,230,230,230,230,230,205,190,190,190,,,,,,,0,0,,0,,0
PT2837-주의사항표기서(전용)_화이트+블랙인쇄,"재고생산, 퀵 버튼링 노트",Package Parts,130x28,스노우 200g,"17BFECB316550594775
1) 단면 먹1도인쇄",⭕재고⭕,서울디지털인쇄협동조합,"STCK_PT2837-주의사항표기서(전용)_화이트+블랙인쇄,QBRN_PT2837-주의사항표기서(전용)_화이트+블랙인쇄",90,90,90,90,90,90,80,75,70,70,,,,,,,0,0,,0,,0
PT2836-버튼링_반투명,"재고생산, 퀵 버튼링 노트",Product Parts,18x5,ABS,,⭕재고⭕,"""Dongguan City Newway Stationery Co., Limited""","STCK_PT2836-버튼링_반투명,QBRN_PT2836-버튼링_반투명",6614,376,312,270,261,255,251,250,249,249,,,,,,,0,0,,0,,0
PT2850-OPP(버튼링),"재고생산, 퀵 버튼링 노트",Package Parts,30x150+40,OPP,1) 와이이케이 OPP 구매 및 임가공,⭕재고⭕,와이이케이글래스주식회사,"STCK_PT2850-OPP(버튼링),QBRN_PT2850-OPP(버튼링)",100,100,100,100,100,100,100,100,100,100,,,,,,,0,0,,0,,0
PT2852-퀵버튼링노트_내지세트,"재고생산, 퀵 버튼링 노트",Product Parts,"1. 간지
그리드 135x235
위클리 135x234
라인 135x230
하프라인 135x230

2. 내지 : 135x200

3. OPP : 150x230+40","간지 : 백색모조 150g
내지 : 백색모조 100g
포장 : OPP","간지 4종, 내지 4종이 OPP에 정합된 1set

1. 내지
1) 4종 1조 (그리드 40매, 위클리 30매, 라인10매, 하프라인 10매, 총90매)
*주문단위 1조
2) 양면 먹1도인쇄
3) CTP 200선
4) 귀돌이 3mm
5) 머쉬룸 7타공

2. 간지
1) 4종 1조 (그리드, 위클리, 라인, 하프라인)
2) 단면 먹1도 인쇄
3) 톰슨

3. OPP
1) 청산인쇄 OPP 구매
2) 내지와 간지 정합 후 OPP에 인입",⭕재고⭕,(주)청산인쇄,"STCK_PT2852-퀵버튼링노트_내지세트,QBRN_PT2852-퀵버튼링노트_내지세트",3000,3000,3000,3000,3000,3000,2505,2350,2350,2350,,,,,,,0,0,,0,,0
PT3322-퀵버튼링노트_종이커버(뒷표지.무지)_화이트,"재고생산, 퀵 버튼링 노트",Product Parts,135x200,랑데뷰 울트라화이트 240g,"1) 인쇄없음
2) 귀돌이 3mm
3) 머쉬룸 7타공",⭕재고⭕,(주)청산인쇄,"STCK_PT3322-퀵버튼링노트_종이커버(뒷표지.무지)_화이트,QBRN_PT3322-퀵버튼링노트_종이커버(뒷표지.무지)_화이트",,,,,,,,,,,,,,,,,0,0,,0,,0
PT4732-클로저휴대폰스트랩_블랙,"재고생산, 클로저 휴대폰 스트랩",Product Parts,,,"1) 중국제조
2) 개별 OPP 포장 및 made in china 부착 필요
3) 세부사항 PI 확인",⭕재고⭕,Shenzhen Xinyixin Technology Co Ltd,"STCK_PT4732-클로저휴대폰스트랩_블랙,CHST_PT4732-클로저휴대폰스트랩_블랙",1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,,,,,,,0,0,,0,,0
